analyze-counts --verbose=1 --binary=false 'ark:ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- |' exp/mlp/ali_train_pdf.counts 
ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- 
LOG (ali-to-pdf[5.3.57~1-6f9f]:main():ali-to-pdf.cc:68) Converted 4000 alignments to pdf sequences.
LOG (analyze-counts[5.3.57~1-6f9f]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
150	(0.000115577),	1192	
151	(0.000116347),	528	
151	(0.000116347),	1099	
152	(0.000117118),	258	
152	(0.000117118),	590	
153	(0.000117888),	358	
153	(0.000117888),	887	
153	(0.000117888),	1352	
153	(0.000117888),	1358	
153	(0.000117888),	1379	
154	(0.000118659),	200	
154	(0.000118659),	260	
154	(0.000118659),	1076	
154	(0.000118659),	1114	
154	(0.000118659),	1191	
155	(0.000119429),	86	
155	(0.000119429),	1083	
156	(0.0001202),	196	
156	(0.0001202),	613	
156	(0.0001202),	841	
156	(0.0001202),	1040	
156	(0.0001202),	1174	
156	(0.0001202),	1418	
157	(0.00012097),	524	
159	(0.000122511),	619	
159	(0.000122511),	1226	
159	(0.000122511),	1502	
160	(0.000123282),	1035	
161	(0.000124052),	306	
161	(0.000124052),	385	
161	(0.000124052),	1329	
162	(0.000124823),	174	
162	(0.000124823),	838	
162	(0.000124823),	1525	
164	(0.000126364),	1066	
164	(0.000126364),	1633	
165	(0.000127134),	315	
165	(0.000127134),	1030	
165	(0.000127134),	1397	
166	(0.000127905),	79	
166	(0.000127905),	134	
166	(0.000127905),	578	
167	(0.000128675),	1218	
167	(0.000128675),	1644	
168	(0.000129446),	77	
169	(0.000130216),	922	
169	(0.000130216),	1120	
169	(0.000130216),	1359	
171	(0.000131757),	634	
171	(0.000131757),	1023	
172	(0.000132528),	1351	
173	(0.000133298),	453	
173	(0.000133298),	1266	
174	(0.000134069),	535	
174	(0.000134069),	1262	
175	(0.000134839),	543	
176	(0.00013561),	1195	
176	(0.00013561),	1214	
176	(0.00013561),	1622	
176	(0.00013561),	1629	
177	(0.00013638),	450	
177	(0.00013638),	679	
177	(0.00013638),	1198	
177	(0.00013638),	1201	
177	(0.00013638),	1646	
178	(0.000137151),	911	
178	(0.000137151),	1383	
178	(0.000137151),	1604	
180	(0.000138692),	448	
180	(0.000138692),	926	
180	(0.000138692),	1188	
180	(0.000138692),	1531	
181	(0.000139462),	505	
181	(0.000139462),	677	
182	(0.000140233),	1512	
185	(0.000142545),	523	
185	(0.000142545),	827	
185	(0.000142545),	1279	
186	(0.000143315),	608	
186	(0.000143315),	796	
187	(0.000144086),	72	
187	(0.000144086),	462	
187	(0.000144086),	1068	
188	(0.000144856),	409	
188	(0.000144856),	582	
188	(0.000144856),	773	
188	(0.000144856),	1250	
188	(0.000144856),	1643	
189	(0.000145627),	367	
189	(0.000145627),	499	
189	(0.000145627),	526	
189	(0.000145627),	843	
189	(0.000145627),	1203	
191	(0.000147168),	21	
191	(0.000147168),	817	
191	(0.000147168),	955	
191	(0.000147168),	1184	
191	(0.000147168),	1493	
192	(0.000147938),	805	
192	(0.000147938),	1304	
192	(0.000147938),	1378	
193	(0.000148709),	326	
193	(0.000148709),	927	
195	(0.00015025),	68	
195	(0.00015025),	401	
195	(0.00015025),	1460	
196	(0.00015102),	197	
196	(0.00015102),	554	
196	(0.00015102),	1330	
197	(0.000151791),	934	
197	(0.000151791),	1221	
199	(0.000153332),	542	
199	(0.000153332),	1391	
200	(0.000154102),	1491	
201	(0.000154873),	241	
201	(0.000154873),	363	
201	(0.000154873),	821	
201	(0.000154873),	933	
201	(0.000154873),	1342	
202	(0.000155643),	325	
202	(0.000155643),	1364	
204	(0.000157184),	1044	
205	(0.000157955),	233	
206	(0.000158725),	80	
206	(0.000158725),	596	
206	(0.000158725),	1504	
206	(0.000158725),	1586	
208	(0.000160266),	1583	
209	(0.000161037),	824	
209	(0.000161037),	851	
210	(0.000161807),	18	
210	(0.000161807),	47	
210	(0.000161807),	497	
211	(0.000162578),	259	
211	(0.000162578),	1368	
